id,dataset,workload,faces_detected,eyes_detected,process_time_ms,pre_time_ms,tag_time_ms,pos_time_ms,total_time_ms,system,resolution_label
134,DATASET_3,FACE_DETECT,1,0,673,6, 0, 0, 722,Firefox_68_Windows,LARGE
135,DATASET_3,FACE_DETECT,1,0,681,5, 0, 0, 722,Firefox_68_Windows,LARGE
136,DATASET_3,FACE_DETECT,1,0,647,4, 0, 0, 687,Firefox_68_Windows,LARGE
137,DATASET_3,FACE_DETECT,1,0,678,7, 0, 0, 723,Firefox_68_Windows,LARGE
138,DATASET_3,FACE_DETECT,1,0,658,4, 0, 0, 702,Firefox_68_Windows,LARGE
139,DATASET_3,FACE_DETECT,1,0,696,4, 0, 0, 742,Firefox_68_Windows,LARGE
140,DATASET_3,FACE_DETECT,1,0,614,4, 0, 0, 654,Firefox_68_Windows,LARGE
141,DATASET_3,FACE_DETECT,1,0,761,3, 0, 0, 811,Firefox_68_Windows,LARGE
142,DATASET_3,FACE_DETECT,1,0,686,5, 0, 0, 726,Firefox_68_Windows,LARGE
143,DATASET_3,FACE_DETECT,1,0,633,5, 0, 0, 676,Firefox_68_Windows,LARGE
144,DATASET_3,FACE_DETECT,1,0,691,4, 0, 0, 742,Firefox_68_Windows,LARGE
145,DATASET_3,FACE_DETECT,1,0,645,5, 0, 0, 686,Firefox_68_Windows,LARGE
146,DATASET_3,FACE_DETECT,1,0,678,4, 0, 0, 722,Firefox_68_Windows,LARGE
147,DATASET_3,FACE_DETECT,1,0,638,4, 0, 0, 686,Firefox_68_Windows,LARGE
148,DATASET_3,FACE_DETECT,1,0,689,5, 0, 0, 733,Firefox_68_Windows,LARGE
149,DATASET_3,FACE_DETECT,1,0,699,4, 0, 0, 747,Firefox_68_Windows,LARGE
150,DATASET_3,FACE_DETECT,1,0,690,6, 0, 0, 731,Firefox_68_Windows,LARGE
151,DATASET_3,FACE_DETECT,0,0,659,3, 0, 0, 707,Firefox_68_Windows,LARGE
152,DATASET_3,FACE_DETECT,0,0,630,4, 0, 0, 687,Firefox_68_Windows,LARGE
153,DATASET_3,FACE_DETECT,1,0,648,5, 0, 0, 695,Firefox_68_Windows,LARGE
154,DATASET_3,FACE_DETECT,3,0,805,6, 0, 0, 850,Firefox_68_Windows,LARGE
155,DATASET_3,FACE_DETECT,4,0,917,5, 0, 0, 961,Firefox_68_Windows,LARGE
156,DATASET_3,FACE_DETECT,4,0,943,5, 1, 0, 989,Firefox_68_Windows,LARGE
157,DATASET_3,FACE_DETECT,0,0,911,4, 0, 0, 959,Firefox_68_Windows,LARGE
158,DATASET_3,FACE_DETECT,0,0,1813,6, 0, 0, 1861,Firefox_68_Windows,LARGE
159,DATASET_3,FACE_DETECT,4,0,794,4, 1, 0, 834,Firefox_68_Windows,LARGE
160,DATASET_3,FACE_DETECT,4,0,799,6, 1, 0, 845,Firefox_68_Windows,LARGE
161,DATASET_3,FACE_DETECT,4,0,801,5, 0, 0, 848,Firefox_68_Windows,LARGE
162,DATASET_3,FACE_DETECT,3,0,828,5, 0, 0, 876,Firefox_68_Windows,LARGE
163,DATASET_3,FACE_DETECT,1,0,619,5, 0, 0, 665,Firefox_68_Windows,LARGE
164,DATASET_3,FACE_DETECT,1,0,625,6, 0, 0, 670,Firefox_68_Windows,LARGE
165,DATASET_3,FACE_DETECT,1,0,619,4, 0, 0, 667,Firefox_68_Windows,LARGE
166,DATASET_3,FACE_DETECT,1,0,656,6, 0, 0, 703,Firefox_68_Windows,LARGE
167,DATASET_3,FACE_DETECT,1,0,625,5, 0, 0, 671,Firefox_68_Windows,LARGE
168,DATASET_3,FACE_DETECT,1,0,631,5, 0, 0, 675,Firefox_68_Windows,LARGE
169,DATASET_3,FACE_DETECT,1,0,606,5, 1, 0, 648,Firefox_68_Windows,LARGE
170,DATASET_3,FACE_DETECT,1,0,618,5, 0, 0, 661,Firefox_68_Windows,LARGE
171,DATASET_3,FACE_DETECT,1,0,611,5, 1, 0, 653,Firefox_68_Windows,LARGE
172,DATASET_3,FACE_DETECT,1,0,620,4, 0, 0, 662,Firefox_68_Windows,LARGE
173,DATASET_3,FACE_DETECT,1,0,613,4, 0, 0, 662,Firefox_68_Windows,LARGE
174,DATASET_3,FACE_DETECT,1,0,614,4, 0, 0, 655,Firefox_68_Windows,LARGE
175,DATASET_3,FACE_DETECT,1,0,622,6, 0, 0, 659,Firefox_68_Windows,LARGE
176,DATASET_3,FACE_DETECT,1,0,607,5, 0, 0, 640,Firefox_68_Windows,LARGE
177,DATASET_3,FACE_DETECT,1,0,604,5, 0, 0, 636,Firefox_68_Windows,LARGE
178,DATASET_3,FACE_DETECT,1,0,629,4, 0, 0, 663,Firefox_68_Windows,LARGE
179,DATASET_3,FACE_DETECT,1,0,602,4, 0, 0, 633,Firefox_68_Windows,LARGE
180,DATASET_3,FACE_DETECT,1,0,628,5, 0, 0, 662,Firefox_68_Windows,LARGE
181,DATASET_3,FACE_DETECT,0,0,709,6, 0, 0, 743,Firefox_68_Windows,LARGE
182,DATASET_3,FACE_DETECT,1,0,691,5, 0, 0, 726,Firefox_68_Windows,LARGE
183,DATASET_3,FACE_DETECT,1,0,626,4, 0, 0, 660,Firefox_68_Windows,LARGE
184,DATASET_3,FACE_DETECT,1,0,605,5, 0, 0, 637,Firefox_68_Windows,LARGE
185,DATASET_3,FACE_DETECT,1,0,621,7, 0, 0, 654,Firefox_68_Windows,LARGE
186,DATASET_3,FACE_DETECT,1,0,610,5, 0, 0, 642,Firefox_68_Windows,LARGE
187,DATASET_3,FACE_DETECT,1,0,598,5, 0, 0, 647,Firefox_68_Windows,LARGE
188,DATASET_3,FACE_DETECT,1,0,606,6, 0, 0, 654,Firefox_68_Windows,LARGE
189,DATASET_3,FACE_DETECT,1,0,620,7, 0, 0, 668,Firefox_68_Windows,LARGE
190,DATASET_3,FACE_DETECT,0,0,1474,4, 0, 0, 1521,Firefox_68_Windows,LARGE
191,DATASET_3,FACE_DETECT,1,0,519,4, 0, 0, 563,Firefox_68_Windows,LARGE
192,DATASET_3,FACE_DETECT,1,0,546,5, 0, 0, 587,Firefox_68_Windows,LARGE
193,DATASET_3,FACE_DETECT,1,0,541,4, 0, 0, 590,Firefox_68_Windows,LARGE
194,DATASET_3,FACE_DETECT,1,0,534,5, 0, 0, 588,Firefox_68_Windows,LARGE
195,DATASET_3,FACE_DETECT,1,0,540,5, 0, 0, 584,Firefox_68_Windows,LARGE
196,DATASET_3,FACE_DETECT,1,0,586,4, 0, 0, 628,Firefox_68_Windows,LARGE
197,DATASET_3,FACE_DETECT,1,0,596,6, 1, 0, 644,Firefox_68_Windows,LARGE
198,DATASET_3,FACE_DETECT,1,0,538,5, 0, 0, 583,Firefox_68_Windows,LARGE
199,DATASET_3,FACE_DETECT,1,0,532,4, 0, 0, 590,Firefox_68_Windows,LARGE
200,DATASET_3,FACE_DETECT,1,0,554,5, 0, 0, 598,Firefox_68_Windows,LARGE
201,DATASET_3,FACE_DETECT,1,0,608,4, 0, 0, 649,Firefox_68_Windows,LARGE
202,DATASET_3,FACE_DETECT,1,0,683,4, 0, 0, 725,Firefox_68_Windows,LARGE
203,DATASET_3,FACE_DETECT,1,0,792,5, 0, 0, 836,Firefox_68_Windows,LARGE
204,DATASET_3,FACE_DETECT,2,0,771,7, 0, 0, 819,Firefox_68_Windows,LARGE
205,DATASET_3,FACE_DETECT,2,0,800,6, 0, 0, 862,Firefox_68_Windows,LARGE
206,DATASET_3,FACE_DETECT,0,0,751,6, 0, 0, 799,Firefox_68_Windows,LARGE
207,DATASET_3,FACE_DETECT,1,0,840,5, 0, 0, 887,Firefox_68_Windows,LARGE
208,DATASET_3,FACE_DETECT,3,0,737,5, 0, 0, 781,Firefox_68_Windows,LARGE
209,DATASET_3,FACE_DETECT,2,0,745,4, 0, 0, 778,Firefox_68_Windows,LARGE
210,DATASET_3,FACE_DETECT,3,0,773,4, 0, 0, 807,Firefox_68_Windows,LARGE
